,חוגים,האם נמצא במערכת יחסים,"שעות פנוי 
1-5 סובייקטיבי","האם יוצא עם חברים?
1-5 ","צריכת אלכוהל ביום חול
1-5","צריכת אלכוהל בסופש
1-5",מין,גיל,האם היה בגן רגיל,האם יש גישה לאינטרנט בבית,"מצב בריאותי
1-5","
1- פחות מ15 דק
2-15-30 דק
3- 30-60 דק'
4-מעל 60 דק","שעות למידה בשבוע - 
1 - פחות מ2
2- 2-5 
3 - 5-10 
4 - 10+",מספר הקורסים שנכשל הסטודנט,תמיכה חיצונית ללימודים,האם המשפחה עוזרת בלימודים,האם לוקח שיעורי העשרה בתשלום,מעוניין בלימודים אקדמיים,"היעדרויות
",ציון מחצית 1,ציון מחצית 2,"ציון סופי
0-20"
260,yes,yes,4,1,1,1,F,17,yes,yes,2,1,4,0,no,no,yes,yes,0,10,9,0
261,no,yes,1,2,1,3,F,18,yes,yes,2,1,2,0,no,yes,yes,yes,21,17,18,18
262,no,no,3,2,1,1,M,18,no,yes,3,1,2,0,no,yes,yes,yes,2,8,8,8
263,yes,no,3,2,1,1,M,18,no,no,3,1,3,0,no,no,no,yes,1,13,12,12
264,yes,no,2,3,1,1,F,17,no,no,4,1,3,0,no,no,no,yes,4,10,9,9
265,yes,yes,3,3,1,1,F,18,yes,yes,3,1,3,0,no,yes,yes,yes,0,9,10,0
266,yes,no,2,5,3,4,M,18,yes,yes,1,2,2,0,no,yes,yes,yes,13,17,17,17
267,yes,yes,4,4,3,4,M,17,yes,yes,5,1,2,0,no,no,yes,yes,2,9,9,10
268,yes,no,3,4,2,2,F,18,yes,yes,4,2,2,0,no,no,yes,yes,8,12,10,11
269,yes,yes,4,5,1,3,M,18,yes,yes,5,1,2,0,no,yes,yes,yes,10,10,9,10
270,no,yes,3,5,1,2,F,18,yes,yes,3,2,2,0,no,yes,no,no,0,6,0,0
271,yes,no,3,5,3,3,F,19,yes,yes,5,1,2,2,no,yes,yes,yes,15,9,9,9
272,yes,yes,5,5,1,3,F,18,yes,yes,2,1,4,0,no,yes,yes,yes,4,15,14,14
273,no,no,4,3,1,1,F,18,no,no,3,2,2,0,no,yes,yes,yes,2,11,11,11
274,yes,yes,5,2,2,2,M,17,no,no,1,1,2,0,no,yes,yes,yes,2,15,14,14
275,no,yes,3,3,1,1,F,17,yes,yes,1,2,2,0,no,yes,yes,yes,2,10,10,10
276,no,yes,4,4,2,3,F,17,yes,yes,5,2,2,0,yes,yes,yes,yes,6,12,12,12
277,no,yes,1,1,1,1,F,18,no,yes,5,2,2,0,no,no,no,no,75,10,9,9
278,yes,no,2,4,1,4,M,18,yes,yes,3,2,1,0,no,no,yes,yes,22,9,9,9
279,yes,yes,4,4,1,1,F,18,yes,yes,4,1,2,1,yes,yes,no,yes,15,9,8,8
280,yes,no,2,3,1,2,M,18,yes,yes,1,2,1,0,no,no,yes,yes,8,10,11,10
281,yes,yes,5,4,2,4,M,17,yes,yes,5,2,1,0,no,no,yes,yes,30,8,8,8
282,no,no,4,4,3,4,M,17,yes,yes,3,1,1,1,no,no,no,yes,19,11,9,10
283,yes,no,2,2,1,1,F,18,yes,no,3,2,4,0,no,yes,yes,yes,1,12,12,12
284,yes,no,4,4,1,1,F,18,yes,yes,4,2,2,0,yes,no,no,yes,4,8,9,10
285,no,no,4,5,1,2,F,17,no,yes,5,1,2,0,no,yes,no,yes,4,10,9,11
286,no,no,3,3,1,2,M,17,no,yes,4,1,2,0,no,no,yes,yes,2,12,10,11
287,no,no,3,3,1,2,F,18,yes,yes,2,1,3,0,no,yes,yes,yes,5,18,18,19
288,no,no,3,3,1,1,F,17,yes,yes,3,1,3,0,no,yes,yes,yes,6,13,12,12
289,yes,no,2,4,1,3,M,18,yes,yes,2,1,3,0,no,no,yes,yes,6,15,14,14
290,yes,no,4,3,1,1,M,18,yes,yes,2,1,2,0,no,yes,yes,yes,9,15,13,15
291,yes,yes,3,2,1,4,M,18,yes,yes,5,1,2,0,no,yes,yes,yes,11,12,11,11
292,no,no,2,2,1,2,F,17,yes,yes,3,1,3,0,no,yes,yes,yes,0,15,15,15
293,no,yes,4,3,1,1,F,18,yes,yes,5,1,2,1,no,no,no,yes,12,12,12,13
294,no,no,1,2,1,1,F,17,yes,no,3,2,4,0,no,yes,yes,yes,6,18,18,18
295,yes,no,4,2,1,1,M,18,yes,yes,4,2,3,0,no,yes,yes,yes,8,14,13,14
296,no,no,4,3,1,3,M,17,yes,yes,5,1,1,0,no,yes,yes,yes,4,14,12,11
297,yes,no,3,4,2,3,F,19,yes,yes,2,2,2,0,no,yes,yes,yes,0,10,9,0
298,no,yes,4,5,1,2,F,18,yes,yes,2,2,2,0,no,yes,yes,yes,10,10,8,8
299,no,no,3,3,1,1,F,18,yes,yes,3,1,4,0,no,yes,yes,yes,0,14,13,14
300,no,yes,4,2,2,2,M,18,yes,yes,1,1,1,0,no,yes,yes,yes,5,16,15,16
301,no,yes,2,4,1,1,F,18,yes,yes,4,1,2,0,no,yes,no,yes,14,12,10,11
302,no,no,1,1,2,2,M,17,yes,yes,5,2,1,0,no,no,yes,yes,0,11,11,10
303,no,no,3,3,1,1,F,17,yes,yes,3,2,3,0,no,yes,yes,yes,0,15,12,14
304,yes,no,2,2,1,2,F,17,no,yes,5,1,4,0,no,yes,yes,yes,0,17,17,18
305,yes,yes,4,4,1,1,M,19,yes,yes,3,1,2,1,no,yes,no,yes,20,15,14,13
306,yes,no,4,3,1,1,F,18,yes,yes,3,1,2,1,no,yes,yes,yes,8,14,12,12
307,yes,no,5,3,1,1,M,20,yes,no,5,1,1,0,no,no,no,yes,0,17,18,18
308,no,yes,3,4,1,1,M,19,yes,yes,4,2,1,1,no,yes,yes,yes,38,8,9,8
309,yes,yes,5,3,1,2,M,19,yes,no,5,1,2,1,no,no,no,yes,0,15,12,12
310,yes,no,4,3,1,3,F,19,no,yes,3,1,2,1,yes,yes,no,yes,18,12,10,10
311,yes,yes,2,4,2,2,F,19,no,no,3,1,2,1,no,no,no,yes,0,9,9,0
312,no,yes,4,1,1,1,F,19,yes,yes,2,3,2,0,no,yes,no,no,20,14,12,13
313,no,no,5,2,2,2,M,19,no,yes,4,1,2,1,no,no,no,yes,3,13,11,11
314,no,yes,2,2,1,2,F,19,no,yes,1,2,2,1,no,yes,yes,yes,22,13,10,11
315,no,yes,1,2,1,1,F,19,no,yes,3,1,3,2,no,no,no,yes,14,15,13,13
316,no,yes,1,2,1,1,F,19,yes,yes,3,1,3,1,no,no,no,yes,40,13,11,11
317,yes,no,3,3,1,2,F,18,yes,yes,1,2,2,0,no,yes,yes,yes,0,8,8,0
318,yes,yes,3,4,1,1,F,18,yes,yes,5,1,3,0,no,yes,yes,yes,9,9,10,9
319,yes,no,3,4,2,5,F,17,no,yes,5,1,3,0,no,yes,yes,yes,0,11,11,10
320,no,no,4,4,3,3,F,18,yes,yes,5,1,2,0,no,yes,yes,yes,2,11,11,11
321,no,yes,2,2,1,2,F,17,yes,yes,5,1,2,0,no,yes,yes,yes,23,13,13,13
322,no,yes,2,2,1,1,F,17,yes,no,3,1,2,0,no,yes,no,yes,12,11,9,9
323,yes,no,3,2,2,2,F,17,yes,yes,3,1,3,0,no,yes,yes,yes,3,11,11,11
324,no,no,4,3,2,3,F,17,no,yes,5,1,3,0,no,yes,no,yes,1,12,14,15
325,no,no,3,3,2,3,F,17,yes,yes,2,2,3,0,no,no,no,yes,0,16,15,15
326,yes,no,3,3,2,2,M,18,yes,yes,3,1,3,0,no,no,no,yes,3,9,12,11
327,yes,no,3,5,3,5,M,17,no,yes,5,1,1,0,no,no,no,yes,3,14,15,16
328,no,no,4,5,5,5,M,17,yes,yes,4,4,1,0,no,yes,no,yes,8,11,10,10
329,yes,no,4,4,1,3,F,17,yes,yes,4,1,3,0,no,yes,yes,yes,7,10,9,9
330,no,yes,3,3,1,2,F,17,no,yes,4,2,3,0,no,yes,yes,yes,4,14,14,14
331,yes,no,5,5,2,4,M,18,yes,yes,5,1,4,0,no,yes,no,yes,2,9,8,8
332,no,yes,4,3,1,1,F,17,yes,yes,5,1,3,0,no,yes,no,yes,7,12,14,14
333,yes,no,3,4,1,1,F,18,yes,yes,4,1,2,0,no,no,no,yes,0,7,0,0
334,yes,yes,3,3,1,1,F,18,no,yes,2,1,2,0,no,no,no,yes,0,8,8,0
335,yes,no,4,4,1,1,F,18,yes,no,4,2,4,0,no,no,no,yes,0,10,9,0
336,no,no,4,5,1,3,F,17,yes,yes,5,1,3,0,no,no,no,yes,16,16,15,15
337,no,no,4,3,1,2,F,19,yes,no,5,1,3,1,no,no,yes,yes,12,14,13,13
338,no,yes,3,2,2,3,F,17,yes,yes,2,1,2,0,no,yes,yes,yes,0,7,8,0
339,no,no,3,3,1,1,F,18,yes,yes,1,1,4,0,no,yes,no,yes,7,16,15,17
340,no,no,3,3,2,3,F,17,yes,yes,2,1,2,0,no,yes,yes,yes,4,9,10,10
341,yes,yes,3,4,1,3,F,19,yes,yes,3,1,3,1,no,no,yes,yes,4,11,12,11
342,yes,no,3,3,2,2,M,18,yes,yes,2,1,2,1,no,yes,no,yes,0,10,10,0
343,yes,yes,3,3,1,3,M,18,yes,yes,5,1,2,0,no,no,no,yes,11,16,15,15
344,no,yes,3,1,1,2,F,17,yes,yes,4,1,2,1,no,yes,no,yes,0,9,8,0
345,no,no,3,3,1,2,F,18,yes,yes,3,1,3,0,no,yes,no,yes,4,11,10,10
346,no,yes,4,3,2,3,F,18,yes,yes,1,1,3,0,no,no,no,yes,7,13,13,14
347,no,yes,3,2,1,2,M,18,yes,yes,4,1,3,0,no,no,no,yes,9,16,15,16
348,no,yes,4,5,2,3,M,18,yes,yes,5,1,3,0,no,yes,yes,yes,0,10,10,9
349,yes,yes,4,3,1,3,F,17,yes,yes,4,1,3,0,no,yes,yes,yes,0,13,15,15
350,no,no,5,5,5,5,M,18,no,yes,5,2,1,1,no,yes,no,yes,10,11,13,13
351,no,no,4,4,3,3,M,19,yes,yes,2,3,2,3,no,no,no,yes,8,8,7,8
352,no,no,5,4,2,3,M,17,yes,yes,3,2,2,0,no,yes,yes,yes,2,13,13,13
353,no,yes,3,3,2,3,M,18,yes,yes,3,1,1,1,no,no,no,no,7,8,7,8
354,no,no,4,4,3,3,M,19,yes,yes,5,3,1,1,no,yes,no,yes,4,8,8,8
355,yes,yes,5,5,1,3,M,17,no,yes,2,2,2,0,no,yes,yes,yes,4,13,11,11
356,no,yes,3,4,1,1,F,18,yes,no,5,1,2,0,no,yes,no,yes,0,10,9,9
357,yes,no,3,3,1,2,F,17,yes,yes,5,2,2,0,no,yes,yes,yes,4,12,13,13
358,no,yes,2,3,1,2,F,17,yes,no,5,2,2,0,no,no,no,yes,2,12,12,11
359,no,yes,3,2,1,2,M,18,no,yes,3,2,1,0,no,no,no,yes,4,10,10,10
360,no,no,3,2,1,1,F,18,yes,yes,4,2,3,0,no,no,no,yes,0,18,16,16
361,no,yes,3,4,1,4,F,18,yes,no,5,3,2,0,no,no,no,yes,0,13,13,13
362,yes,no,4,3,2,3,M,18,no,no,5,2,2,1,no,no,no,no,2,13,12,12
363,no,yes,3,2,1,3,F,18,yes,yes,3,2,2,0,no,yes,no,yes,0,11,11,10
364,yes,yes,3,4,1,1,F,17,yes,yes,1,1,2,0,no,yes,yes,yes,0,16,15,15
365,no,no,2,2,1,2,F,17,no,no,3,2,2,0,no,no,no,yes,0,12,11,12
366,no,no,3,4,2,4,M,18,yes,no,3,2,2,0,no,yes,yes,yes,4,10,10,10
367,no,yes,2,2,2,2,M,18,yes,yes,5,2,3,0,no,no,yes,yes,0,13,13,13
368,no,yes,2,1,1,2,F,17,yes,yes,1,3,1,1,no,yes,yes,yes,0,7,6,0
369,no,yes,2,3,1,2,F,18,yes,yes,4,2,1,0,no,yes,yes,yes,0,11,10,10
370,no,yes,2,2,4,2,F,18,no,yes,5,3,2,0,no,yes,yes,yes,10,14,12,11
371,yes,yes,2,2,1,1,F,19,yes,no,3,2,2,2,no,no,no,yes,4,7,7,9
372,yes,yes,3,3,2,3,M,18,yes,yes,3,3,1,0,no,yes,yes,no,3,14,12,12
373,yes,yes,4,3,1,1,F,17,yes,no,3,1,3,0,no,no,no,yes,8,13,11,11
374,yes,no,5,5,1,3,F,17,yes,yes,1,1,1,0,no,no,no,yes,14,6,5,5
375,no,no,4,4,1,1,F,18,yes,yes,1,2,3,0,no,no,no,yes,0,19,18,19
376,no,no,3,2,1,2,F,18,yes,yes,4,4,3,0,no,no,no,yes,2,8,8,10
377,no,yes,4,3,1,1,F,20,no,yes,3,2,3,2,no,yes,yes,yes,4,15,14,15
378,yes,no,4,3,3,4,F,18,yes,yes,2,1,2,0,no,no,yes,yes,4,8,9,10
379,no,yes,1,3,1,2,F,18,yes,yes,1,1,2,0,no,no,yes,yes,0,15,15,15
380,yes,no,5,4,2,3,F,17,no,yes,1,1,2,0,no,yes,yes,yes,17,10,10,10
381,yes,no,2,4,1,4,M,18,no,yes,2,1,2,0,no,no,yes,yes,4,15,14,14
382,yes,yes,4,3,1,3,M,18,no,yes,5,2,1,0,no,no,no,yes,5,7,6,7
383,yes,no,4,3,1,1,M,17,yes,yes,3,2,2,0,no,no,no,yes,2,11,11,10
384,no,no,3,2,1,3,M,19,yes,no,5,2,1,1,no,no,no,yes,0,6,5,0
385,no,no,4,3,4,3,M,18,yes,no,3,2,1,1,no,no,yes,yes,14,6,5,5
386,no,no,3,3,1,3,F,18,yes,no,4,2,3,0,no,no,yes,yes,2,10,9,10
387,yes,yes,4,3,2,2,F,18,yes,yes,5,3,1,0,no,yes,yes,yes,7,6,5,6
388,yes,no,4,2,1,2,F,19,no,yes,5,1,3,1,no,no,no,yes,0,7,5,0
389,no,no,3,4,1,1,F,18,yes,yes,1,1,2,0,no,yes,yes,yes,0,7,9,8
390,yes,no,1,1,1,1,F,18,yes,no,5,2,2,1,no,no,no,yes,0,6,5,0
391,no,no,5,4,4,5,M,20,yes,no,4,1,2,2,no,yes,yes,yes,11,9,9,9
392,no,no,4,5,3,4,M,17,no,yes,2,2,1,0,no,no,no,yes,3,14,16,16
393,no,no,5,3,3,3,M,21,no,no,3,1,1,3,no,no,no,yes,3,10,8,7
394,no,no,4,1,3,4,M,18,no,yes,5,3,1,0,no,no,no,yes,0,11,12,10
395,no,no,2,3,3,3,M,19,yes,yes,5,1,1,0,no,no,no,yes,5,8,9,9
